Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Thunderstruck,4:52,AC/DC,The Razors Edge,Hard Rock,0,11,10/09/1990,1990,13,"01/07/2024, 7:57 AM","06/09/2020, 11:00 AM"
Tickets,3:30,Maroon 5,Overexposed (Deluxe Version),Pop,1,6,20/06/2012,2012,6,"10/06/2024, 10:07 AM","06/08/2020, 10:00 PM"
Til Kingdom Come,4:11,Coldplay,X&Y,Alternative,1,2,06/06/2005,2005,4,"28/08/2024, 7:16 PM","03/03/2023, 7:49 PM"
'Till I Collapse (feat. Nate Dogg),4:58,Eminem,The Eminem Show,Hip-Hop/Rap,1,15,26/05/2002,2002,9,"14/08/2024, 11:38 AM","10/09/2020, 10:50 AM"
'Till I Collapse (feat. Nate Dogg),4:58,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,1,26/05/2002,2002,1,"04/09/2024, 7:40 AM","22/06/2024, 7:07 AM"
Timber (feat. Ke$ha),3:24,Pitbull,Timber (feat. Ke$ha) - Single,Pop,1,4,07/10/2013,2013,9,"06/04/2024, 8:53 AM","07/08/2020, 12:59 AM"
Timber (feat. Kesha),3:24,Pitbull,Timber (feat. Kesha) - Single,Pop,0,,07/10/2013,2013,5,,"22/08/2022, 12:31 PM"
Time of Our Lives,3:49,Pitbull & Ne-Yo,Globalization,Pop,1,,17/11/2014,2014,1,,"16/05/2023, 11:57 AM"
To Be A Man,3:39,Dax,To Be A Man - Single,Country,0,3,14/04/2023,2023,5,"09/05/2023, 8:07 AM","25/04/2023, 2:29 PM"
Tobey,4:45,"Eminem, Big Sean & BabyTron",The Death of Slim Shady (Coup De Grâce),Hip-Hop/Rap,0,2,02/07/2024,2024,4,"23/08/2024, 3:34 PM","13/07/2024, 6:22 PM"
Tobey,4:45,"Eminem, Big Sean & BabyTron",Tobey - Single,Hip-Hop/Rap,0,8,02/07/2024,2024,2,"23/07/2024, 6:56 AM","06/07/2024, 7:20 AM"
Today Is a Good Day to Live (feat. Michael Stenmark),4:27,John T. Graham,Epidemic Presents: Crates (M. Bison Edition),Electronic,0,,13/03/2020,2020,,,"12/02/2024, 5:06 PM"
Tony Montana,3:51,Karma & KR$NA,Tony Montana - Single,Hip-Hop/Rap,0,8,09/11/2022,2022,5,"25/07/2024, 7:48 AM","23/01/2023, 9:11 PM"
Trampoline,3:04,SHAED & ZAYN,Melt (Deluxe),Pop,1,1,26/09/2019,2019,2,"03/01/2024, 3:38 PM","03/03/2023, 7:49 PM"
Trampoline,3:04,SHAED & ZAYN,Trampoline - Single,Pop,0,3,26/09/2019,2019,13,"19/03/2023, 4:30 PM","15/03/2021, 1:19 AM"
Treat You Better,3:08,Shawn Mendes,Illuminate (Deluxe),Pop,1,7,03/06/2016,2016,7,"24/09/2024, 6:52 AM","08/08/2020, 12:48 AM"
True Stories,1:58,AP Dhillon & Shinda Kahlon,True Stories - Single,Hip-Hop,0,86,16/06/2023,2023,2,"09/10/2024, 7:08 AM","23/07/2023, 7:35 PM"
Trumpets,3:37,Jason Derulo,Tattoos,Pop,1,2,20/09/2013,2013,8,"01/03/2022, 2:23 AM","07/08/2020, 2:03 AM"
Tu Aake Dekhle,4:30,King,The Carnival,Pop,2,12,21/09/2020,2020,6,"27/08/2023, 2:23 PM","18/12/2021, 11:07 AM"
Tu Chodiyon Na (Reprise),2:55,Ronit Vinta,Tu Chodiyon Na (Reprise) - Single,Indian Pop,0,3,09/11/2022,2022,6,"24/12/2023, 4:36 PM","21/03/2023, 10:47 AM"
Tu hai kahan (feat. ZAYN),4:30,AUR,Tu hai kahan (feat. ZAYN) - Single,Pop,0,5,12/01/2024,2024,4,"29/06/2024, 10:27 AM","18/02/2024, 6:19 AM"
Tu Hi Das De (feat. Mickey Singh),2:53,Tedi Pagg & Simar Panag,Tu Hi Das De (feat. Mickey Singh) - Single,Hip-Hop/Rap,0,14,17/12/2019,2019,2,"29/06/2024, 10:30 AM","02/10/2021, 5:47 PM"
"Tu Hi Meri Shab Hai (From ""Gangster"")",6:28,Pritam & KK,Gangster (Original Motion Picture Soundtrack),Soundtrack,0,1,08/09/2006,2006,5,"17/09/2024, 8:24 PM","03/09/2023, 4:38 PM"
Tu Na Mera,3:41,Arjun Kanungo,Tu Na Mera - Single,Indian Pop,0,26,16/01/2019,2019,8,"02/09/2023, 5:50 PM","08/08/2020, 1:08 AM"
Tujhe Bhula Diya,4:39,"Mohit Chauhan, Shekhar Ravjiani & Shruti Pathak",Anjaana Anjaani (Original Motion Picture Soundtrack),Bollywood,1,3,19/08/2010,2010,8,"01/10/2022, 10:41 AM","11/08/2020, 9:09 PM"
Tujhe Kitna Chahne Lage,4:45,Arijit Singh,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,0,2,31/05/2019,2019,12,"05/03/2021, 12:52 PM","07/08/2020, 2:11 AM"
Tujhko Jo Paaya,3:05,Pritam & Mohit Chauhan,Crook (Original Motion Picture Soundtrack),Bollywood,1,2,31/08/2010,2010,11,"22/11/2022, 10:34 PM","07/08/2020, 9:20 AM"
Tukuntazo,3:18,"Tokischa, Haraca Kiko & El Cherry Scom",Tukuntazo - Single,Urbano latino,0,2,05/03/2021,2021,3,"19/07/2024, 8:13 AM","12/02/2024, 5:06 PM"
Tum Hi Ho Bandhu,4:44,Neeraj Shridhar & Kavita Seth,Cocktail (Original Motion Picture Soundtrack),Bollywood,1,,15/06/2012,2012,3,,"20/01/2024, 8:59 PM"
Tum Ho,5:17,Mohit Chauhan & Suzanne D'Mello,Rockstar (Original Motion Picture Soundtrack),Bollywood,1,,30/09/2011,2011,,,"11/06/2024, 7:27 AM"
Tum Na Ho,3:31,"Arjun Kanungo, Prakriti Kakar & M Ajay Vaas",Tum Na Ho - Single,Indian Pop,0,7,20/02/2020,2020,14,"26/01/2024, 10:15 AM","08/08/2020, 2:08 AM"
Tumse Hi Tumse,4:22,Shekhar Ravjiani & Caralisa Monteiro,Anjaana Anjaani (Original Motion Picture Soundtrack),Bollywood,1,5,19/08/2010,2010,10,"12/09/2024, 8:15 AM","11/08/2020, 9:09 PM"
Tune Mere Jana,4:01,Gajendra Verma,Emptiness - Single,Indian Pop,0,8,01/01/2013,2013,4,"27/08/2023, 2:01 PM","07/08/2023, 7:40 AM"
"Turn Around (5, 4, 3, 2, 1)",3:21,Flo Rida,"Only One Flo, Pt. 1 (Deluxe Version)",Hip-Hop/Rap,1,7,08/11/2010,2010,10,"06/07/2023, 8:26 AM","05/08/2020, 11:23 PM"
Twenty Eight,4:18,The Weeknd,Trilogy,R&B/Soul,1,14,13/11/2012,2012,9,"27/05/2024, 7:32 PM","06/08/2020, 12:18 AM"
Twist,4:59,Neeraj Shridhar,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,0,2,31/07/2009,2009,4,"29/08/2024, 9:31 AM","20/01/2024, 9:59 PM"
Ude Dil Befikre,3:53,Vishal & Shekhar & Benny Dayal,Befikre (Original Motion Picture Soundtrack),Bollywood,0,2,03/11/2016,2016,3,"08/04/2024, 7:59 AM","16/10/2023, 6:45 AM"
Underdogs,2:57,Jimmie Allen,Mercury Lane,Country,1,2,06/10/2017,2017,6,"19/05/2024, 7:45 PM","06/08/2020, 12:00 AM"
Unfolding,3:44,Luca Fogale,Nothing is Lost,Contemporary Folk,0,,12/07/2019,2019,10,,"03/03/2023, 7:49 PM"
Unkiss Me,3:58,Maroon 5,V (Deluxe),Pop,2,10,29/08/2014,2014,11,"13/06/2024, 12:19 PM","28/12/2020, 9:42 AM"
Unsung Songs,3:59,Ages and Ages,Me You They We,Alternative,0,2,05/04/2019,2019,2,"05/05/2023, 12:50 PM","03/03/2023, 7:49 PM"
Untitled,3:14,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,0,,18/06/2010,2010,,,"22/06/2024, 8:07 AM"
Up All Night,3:10,Charlie Puth,Nine Track Mind,Pop,0,3,29/01/2016,2016,1,"03/10/2024, 8:27 AM","30/04/2024, 10:16 PM"
Uptown Funk (feat. Bruno Mars),4:30,Mark Ronson,Uptown Special,Pop,1,2,10/11/2014,2014,7,"14/05/2024, 1:10 PM","10/01/2024, 7:27 AM"
Vande Mataram,2:47,Palash Sen,Vande Mataram - Single,Indian Pop,0,,14/08/2019,2019,1,,"06/08/2020, 8:50 PM"
Venom (Music From The Motion Picture),4:30,Eminem,Kamikaze,Hip-Hop/Rap,1,25,31/08/2018,2018,17,"03/10/2024, 8:39 AM","06/08/2020, 12:22 AM"
Versace On The Floor,4:21,Bruno Mars,24K Magic,Pop,1,10,04/11/2016,2016,6,"02/10/2024, 7:38 AM","06/08/2020, 10:02 PM"
Viah,2:42,Jass Manak,Age 19,Punjabi Pop,1,8,19/02/2019,2019,9,"26/08/2023, 8:06 AM","08/08/2020, 2:01 AM"
Visions,3:51,Maroon 5,Red Pill Blues (Deluxe),Pop,1,10,03/11/2017,2017,6,"12/02/2024, 8:16 AM","06/08/2020, 9:58 PM"
Visiting Hours,3:36,Ed Sheeran,=,Pop,0,6,19/08/2021,2021,11,"13/08/2024, 9:56 AM","09/09/2021, 12:53 AM"
W.T.P.,3:58,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,1,8,18/06/2010,2010,11,"04/07/2024, 10:00 AM","06/08/2020, 12:21 AM"
Waada Hai,4:11,Arjun Kanungo,Waada Hai - Single,Indian Pop,0,7,05/11/2020,2020,12,"17/09/2024, 9:13 PM","06/11/2020, 5:20 PM"
Waada Hai (feat. Manoj Muntashir) [Crossfader Sr Remix],3:34,Arjun Kanungo & Crossfader SR,Waada Hai (feat. Manoj Muntashir) [Crossfader Sr Remix] - Single,Pop,0,,29/01/2021,2021,,,"21/02/2021, 12:52 AM"
Waalian,3:26,Harnoor,Waalian - Single,Punjabi,0,10,10/08/2020,2020,9,"10/11/2023, 4:51 PM","26/09/2021, 9:09 PM"
Wait,3:11,Maroon 5,Red Pill Blues (Deluxe),Pop,1,6,31/10/2017,2017,5,"10/06/2024, 10:20 AM","06/08/2020, 9:58 PM"
Wait for You,4:21,Elliott Yamin,Elliott Yamin,Pop,0,,13/03/2007,2007,1,,"20/01/2024, 6:57 PM"
Wake Me Up,4:10,Avicii,TRUE,House,1,2,17/06/2013,2013,15,"20/10/2022, 11:05 AM","07/08/2020, 1:06 AM"
Wake Me Up When September Ends,4:46,Green Day,American Idiot,Alternative,1,1,21/09/2004,2004,6,"09/05/2022, 11:54 AM","06/08/2020, 8:57 PM"
Wakhra Swag (feat. Badshah),3:11,Navv Inder,Wakhra Swag (feat. Badshah) - Single,Indian Pop,0,4,10/09/2015,2015,1,"27/09/2024, 12:26 PM","07/02/2024, 8:18 AM"
The Way I Am,4:51,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,23/05/2000,2000,1,,"22/06/2024, 7:08 AM"
The Way I Am,4:50,Eminem,The Marshall Mathers LP,Hip-Hop/Rap,0,2,23/05/2000,2000,1,"21/08/2024, 1:56 PM","27/05/2024, 2:39 PM"
We Are the Champions,2:59,Queen,News of the World (Deluxe Edition),Rock,1,1,07/10/1977,1977,5,"22/12/2023, 7:49 AM","07/08/2020, 11:00 AM"
We Dem Boyz,3:45,Wiz Khalifa,Blacc Hollywood (Deluxe Version),Hip-Hop/Rap,1,11,11/02/2014,2014,11,"29/07/2023, 11:45 AM","07/08/2020, 10:08 AM"
We Don’t Talk Anymore (feat. Selena Gomez),3:38,Charlie Puth,Nine Track Mind,Pop,0,3,29/01/2016,2016,3,"13/08/2024, 9:36 AM","30/04/2024, 9:16 PM"
We Own It (Fast & Furious),3:48,2 Chainz & Wiz Khalifa,Fast & Furious 6 (Original Motion Picture Soundtrack),Soundtrack,1,14,17/05/2013,2013,11,"11/03/2024, 1:04 PM","07/08/2020, 12:37 AM"
We Will Rock You,2:01,Queen,News of the World (Deluxe Edition),Rock,1,9,07/10/1977,1977,14,"24/12/2023, 7:36 AM","06/09/2020, 6:12 PM"
We're in This Together Now,3:53,Loving Caliber,When We Were Younger,Pop,0,7,10/10/2017,2017,6,"30/07/2024, 7:44 AM","01/11/2021, 6:25 PM"
Weak at the Knees,3:48,Steve Arrington's Hall of Fame,Straight Outta Compton (Music from the Motion Picture),Funk,0,,08/01/2016,2016,,,"10/06/2022, 11:07 AM"
Welcome Home,4:47,Radical Face,Touch the Sky (Welcome Home) - EP,Traditional Folk,1,1,02/03/2007,2007,7,"03/08/2024, 6:49 AM","31/12/2020, 10:44 AM"
Welcome to My Hood,4:00,Diljit Dosanjh,Welcome to My Hood - Single,Punjabi,1,11,23/10/2020,2020,12,"01/10/2024, 7:58 AM","14/10/2021, 8:08 PM"
What Do You Mean?,3:26,Justin Bieber,Purpose (Deluxe),Pop,1,9,28/08/2015,2015,5,"04/06/2024, 8:10 AM","06/08/2020, 8:37 PM"
What If I Told You That I Love You,3:14,Ali Gatie,What If I Told You That I Love You - Single,Pop,0,7,23/01/2020,2020,6,"29/08/2024, 2:53 PM","14/10/2020, 10:37 PM"
What Ifs (feat. Lauren Alaina),3:08,Kane Brown,Kane Brown,Country,0,9,02/12/2016,2016,9,"27/09/2024, 8:21 AM","05/10/2022, 10:48 AM"
What Ifs (feat. Lauren Alaina),3:08,Kane Brown,Kane Brown (Deluxe Edition),Country,1,4,02/12/2016,2016,14,"12/03/2023, 3:10 PM","06/08/2020, 12:01 AM"
What Is Love,4:30,Haddaway,What Is Love,Pop,1,2,01/12/1992,1993,4,"08/09/2023, 6:26 AM","01/10/2020, 8:43 PM"
What Lovers Do (feat. SZA),3:20,Maroon 5,Red Pill Blues (Deluxe),Pop,1,4,30/08/2017,2017,11,"02/12/2023, 6:29 AM","06/08/2020, 9:58 PM"
What They Want,2:46,Russ,There's Really A Wolf,Hip-Hop/Rap,0,4,19/08/2015,2015,5,"02/09/2023, 6:26 PM","23/08/2023, 7:39 PM"
What's Up Danger,3:42,Blackway & Black Caviar,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Soundtrack,0,3,01/11/2018,2018,6,"08/07/2024, 10:02 AM","06/04/2023, 9:43 PM"
Whatever It Takes,3:21,Imagine Dragons,Evolve,Alternative,1,10,08/05/2017,2017,7,"24/09/2024, 7:32 AM","05/08/2020, 11:32 PM"
Whats Goin' On,4:41,"Vishal & Shekhar, Kunal Ganjawala & Sunidhi Chauhan",Salaam Namaste (Original Motion Picture Soundtrack),Bollywood,1,,03/08/2005,2005,,,"20/01/2024, 8:58 PM"
When I Grow Up,3:15,Dimitri Vegas & Like Mike & Wiz Khalifa,When I Grow Up - Single,Pop,0,6,22/06/2018,2018,3,"02/02/2024, 9:46 PM","10/03/2023, 11:57 AM"
When I'm Gone,4:40,Eminem,Curtain Call: The Hits,Hip-Hop/Rap,0,6,06/12/2005,2005,10,"16/12/2023, 8:01 AM","07/10/2021, 12:42 PM"
When I'm Gone,4:41,Eminem,Curtain Call: The Hits,Hip-Hop/Rap,0,1,02/12/2005,2005,4,"05/06/2024, 7:36 AM","27/05/2024, 2:39 PM"
When I'm Gone,4:41,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,02/12/2005,2005,1,,"22/06/2024, 7:08 AM"
When It Rains It Pours,4:03,Luke Combs,This One's for You,Country,0,,02/06/2017,2017,,,"18/07/2024, 10:14 PM"
When The Music Stops (feat. D12),4:29,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,26/05/2002,2002,2,,"22/06/2024, 8:07 AM"
When We Get Old,3:21,Christy,When We Get Old - Single,Pop,1,3,02/10/2020,2020,15,"04/02/2024, 11:19 AM","28/12/2020, 11:04 AM"
When You're Young and In Love,3:26,The Flying Pickets,The Original Flying Pickets Vol. One,Pop,0,1,25/11/1994,1994,5,"21/11/2023, 7:50 PM","20/07/2023, 7:17 AM"
Where Are Ü Now (with Justin Bieber) [feat. Justin Bieber],4:10,"Jack Ü, Skrillex & Diplo",Skrillex and Diplo present Jack Ü,Dance,1,2,27/02/2015,2015,16,"01/04/2023, 6:10 AM","06/08/2020, 8:36 PM"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),3:15,David Guetta,Nothing But the Beat,Pop,1,2,02/05/2011,2011,11,"22/07/2024, 8:32 AM","07/08/2020, 12:34 AM"
Whiskey (feat. A$AP Rocky),3:30,Maroon 5,Red Pill Blues (Deluxe),Pop,1,9,19/10/2017,2017,11,"03/10/2024, 8:16 AM","12/10/2020, 1:03 AM"
Whiskey Glasses,3:54,Morgan Wallen,If I Know Me,Country,0,3,01/01/2016,2016,12,"18/08/2024, 1:41 PM","22/08/2022, 12:39 PM"
Whiskey Sour,3:30,Kane Brown,Whiskey Sour - Single,Country,0,3,14/01/2022,2022,8,"28/06/2024, 3:41 PM","04/03/2022, 1:58 PM"
Whistle,3:45,Flo Rida,Wild Ones,Hip-Hop/Rap,2,9,24/04/2012,2012,6,"18/09/2024, 5:42 PM","05/08/2020, 11:23 PM"
White Iverson,4:17,Post Malone,The Diamond Collection (Deluxe),Hip-Hop/Rap,2,1,14/08/2015,2015,4,"15/11/2023, 12:27 PM","11/11/2023, 6:46 AM"
Whole Lives,3:28,Jake Scott,Whole Lives - Single,Singer/Songwriter,0,5,23/02/2018,2018,5,"21/02/2024, 8:21 AM","28/02/2022, 2:08 PM"
Why Don't We Start from Here,3:32,Lucy Spraggan,Choices,Pop,0,3,26/02/2021,2021,7,"15/02/2024, 8:44 AM","17/09/2023, 8:48 PM"
Wild Ones (feat. Sia),3:53,Flo Rida,Wild Ones,Hip-Hop/Rap,1,4,19/12/2011,2011,8,"20/10/2023, 4:55 PM","05/08/2020, 11:23 PM"
Wild Wild Love (feat. G.R.L.),3:22,Pitbull,Wild Wild Love (feat. G.R.L.) - Single,Pop,0,4,25/02/2014,2014,6,"13/08/2024, 4:53 PM","22/08/2022, 1:31 PM"
Winning Speech,3:47,Karan Aujla & MXRCI,Winning Speech - Single,Pop,0,18,17/05/2024,2024,2,"07/10/2024, 8:36 AM","08/07/2024, 12:05 PM"
Wipe Your Eyes,3:37,Maroon 5,Overexposed (Deluxe Version),Pop,1,8,20/06/2012,2012,11,"22/09/2024, 8:33 AM","06/08/2020, 9:59 PM"
With You,2:35,AP Dhillon,With You - Single,Punjabi,0,20,11/08/2023,2023,18,"17/01/2024, 4:35 PM","16/08/2023, 3:29 PM"
Without Me,4:51,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,14/05/2002,2002,,,"22/06/2024, 7:08 AM"
Without Me,4:50,Eminem,The Eminem Show,Hip-Hop/Rap,1,5,14/05/2002,2002,5,"04/08/2024, 8:15 PM","10/09/2020, 10:42 AM"
Without Me,4:50,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,1,14/05/2002,2002,1,"01/07/2024, 6:01 PM","22/06/2024, 7:07 AM"
Without Me,3:22,Halsey,Without Me - Single,Alternative,1,7,04/10/2018,2018,11,"30/09/2023, 6:57 AM","14/08/2020, 12:46 PM"
Without You,3:56,Keith Urban,Get Closer,Country,1,5,16/11/2010,2010,12,"14/10/2023, 1:46 PM","20/12/2020, 11:58 AM"
Wo Noor,3:19,AP Dhillon,Two Hearts Never Break the Same - EP,Punjabi Pop,2,17,07/10/2022,2022,6,"07/10/2024, 8:52 AM","25/02/2023, 5:13 AM"
WOH,5:28,"Ikka, Dino James & Badshah",WOH - Single,Hip-Hop/Rap,0,10,29/11/2022,2022,6,"09/09/2023, 6:24 AM","08/01/2023, 10:44 AM"
Woh Pehli Baar,4:32,"Vishal Dadlani, Shiraz, Samrat & Shaan",Pyaar Mein Kabhi Kabhi (Original Motion Picture Soundtrack),Bollywood,1,,01/01/1999,1999,5,,"28/02/2023, 9:35 AM"
The Wolf,2:55,The Spencer Lee Band,Fifty Shades Freed (Original Motion Picture Soundtrack),Soundtrack,1,7,09/02/2018,2018,5,"09/08/2024, 4:57 PM","07/08/2020, 1:08 AM"
Women (feat. Jason Derulo),3:32,Florida Georgia Line,Can't Say I Ain't Country,Country,1,5,01/02/2019,2019,5,"27/12/2023, 11:58 AM","05/08/2020, 11:03 PM"
Won't Get Fooled Again,8:36,The Who,Who's Next (Bonus Track Version),Hard Rock,0,,25/06/1971,1971,3,,"30/05/2022, 12:59 AM"
Wonderful Life (Mi Oh My),3:31,Matoma,The Angry Birds Movie (Original Motion Picture Soundtrack),Dance,0,,06/05/2016,2016,,,"25/08/2024, 8:28 PM"
The Woods,30:47:00,TribunalWolf,Track 1,,0,,,2023,,,"16/01/2023, 9:06 AM"
The Woods,30:47:00,TribunalWolf,Track 1,,0,,,2023,,,"16/01/2023, 9:26 AM"
The Woods,30:47:00,TribunalWolf,,,0,,,2023,1,,"16/01/2023, 9:17 AM"
Work Ya Muscle,3:15,Eearz,Creed (Original Motion Picture Soundtrack),Hip-Hop,0,,04/09/2015,2015,,,"03/11/2022, 8:20 PM"
Worship You,3:26,Kane Brown,"Mixtape, Vol. 1 - EP",Country,1,3,14/08/2020,2020,9,"22/06/2024, 7:04 PM","05/10/2022, 9:48 AM"
Would You Stay (feat. Le June),3:41,Mindme,Would You Stay - Single,Pop,0,5,27/03/2020,2020,7,"27/03/2024, 11:47 AM","03/09/2021, 12:47 PM"
Wow.,2:30,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1,25,24/12/2018,2018,7,"16/04/2024, 10:33 AM","05/08/2020, 11:15 PM"
Wow.,2:30,Post Malone,Wow. - Single,Hip-Hop/Rap,0,6,24/12/2018,2018,6,"24/09/2024, 6:55 AM","11/11/2023, 6:46 AM"
X Gon' Give It To Ya,3:39,DMX,Hip Hop Workout,Hip-Hop/Rap,1,6,20/01/2003,2003,5,"17/01/2024, 4:52 PM","06/08/2020, 9:34 PM"
Yaar Mod Do,3:29,Guru Randhawa & Millind Gaba,Hits of Guru Randhawa,Indian Pop,0,,20/01/2016,2016,1,,"07/02/2024, 7:21 AM"
Yaar Mod Do,3:29,Guru Randhawa & Millind Gaba,Yaar Mod Do - Single,Indian Pop,1,1,20/01/2016,2016,9,"17/09/2023, 6:45 AM","01/05/2023, 10:58 AM"
Yaara Teri Yaari,3:27,Darshan Raval,Four More Shots Please!,Soundtrack,0,8,21/01/2019,2019,10,"08/03/2024, 1:57 PM","31/08/2020, 10:30 AM"
Yaarr Ni Milyaa,5:10,"Harrdy Sandhu, B. Praak & Jaani",Yaarr Ni Milyaa - Single,Punjabi Pop,1,3,05/09/2017,2017,2,"11/07/2024, 7:49 PM","08/08/2020, 1:06 AM"
Ye Pyar Nahi To Kya Hai,3:48,Rahul Jain,Ye Pyar Nahi To Kya Hai - Single,Indian,0,3,17/04/2020,2020,9,"14/07/2024, 5:52 AM","01/05/2022, 5:25 AM"
Yeh Dooriyan,4:02,Pritam & Mohit Chauhan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,18,14/02/2020,2020,15,"02/09/2023, 5:56 PM","07/08/2020, 12:47 AM"
You and I,3:06,Enrique Iglesias,S** AND LOVE,Latin,1,2,14/03/2014,2014,10,"05/12/2022, 11:54 AM","06/08/2020, 12:27 AM"
You Can Cry,3:15,"Marshmello, Juicy J & James Arthur",You Can Cry - Single,Pop,1,2,04/05/2018,2018,4,"26/08/2024, 6:55 AM","06/08/2020, 9:45 PM"
You Can Get It If You Really Want,2:39,Jimmy Cliff,The Harder They Come (Original Motion Picture Soundtrack),Worldwide,0,1,07/07/1972,1972,4,"17/07/2023, 8:00 AM","05/05/2023, 10:16 PM"
You Deserve Better,3:28,James Arthur,You Deserve Better / At My Weakest - Single,Pop,1,6,01/08/2018,2018,7,"09/09/2022, 12:45 PM","06/08/2020, 9:44 PM"
You Got the Wrong Guy,3:01,Dean Brody,You Got the Wrong Guy - Single,Country,0,3,30/09/2022,2022,4,"23/06/2024, 10:37 AM","25/02/2023, 4:15 AM"
You Know How We Do It,3:53,Ice Cube,Lethal Injection,Hip-Hop/Rap,0,,07/12/1993,1993,2,,"27/05/2024, 2:39 PM"
You Proof,2:37,Morgan Wallen,You Proof - Single,Country,0,11,13/05/2022,2022,5,"28/09/2024, 7:47 AM","31/03/2023, 2:29 PM"
You're Beautiful,3:33,James Blunt,Back To Bedlam (Deluxe Version),Pop,1,4,11/10/2004,2004,9,"22/09/2024, 7:26 AM","06/08/2020, 9:43 PM"
You're Never Over,5:06,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,0,,18/06/2010,2010,,,"22/06/2024, 8:07 AM"
(You're The) Devil In Disguise,2:22,Elvis Presley,"Elvis' Gold Records, Vol. 4",Rock,1,,01/01/1963,1963,,"26/12/2023, 6:57 PM","12/02/2024, 5:06 PM"
You've Got the Love,2:49,Florence + the Machine,Lungs,Alternative,0,,01/12/2008,2008,3,,"06/05/2023, 10:45 AM"
Young Dumb & Broke,3:23,Khalid,American Teen,R&B/Soul,1,14,02/02/2017,2017,4,"04/07/2024, 12:38 PM","05/08/2020, 11:19 PM"
"Young, Wild & Free (feat. Bruno Mars)",3:27,Snoop Dogg & Wiz Khalifa,Mac and Devin Go to High School (Music from and Inspired By the Movie),Soundtrack,0,6,11/10/2011,2011,2,"04/07/2024, 1:53 PM","27/05/2024, 3:39 PM"
Zack and Codeine,3:24,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,1,22,27/04/2018,2018,12,"24/12/2023, 4:02 PM","05/08/2020, 11:15 PM"
"Zero (From the Original Motion Picture ""Ralph Breaks The Internet"")",3:31,Imagine Dragons,Origins (Deluxe),Alternative,1,2,19/09/2018,2018,12,"15/03/2023, 4:17 PM","05/08/2020, 11:31 PM"
Zillionaire,3:52,Flo Rida,Zillionaire - Single,Hip-Hop/Rap,1,4,29/07/2016,2016,12,"05/09/2024, 10:53 AM","07/08/2020, 12:32 AM"
Zumba,4:24,Don Omar,Don Omar Presents MTO2: New Generation,Urbano latino,0,2,01/05/2012,2012,7,"21/08/2023, 6:21 PM","30/06/2023, 7:22 AM"
1-800-273-8255 (feat. Alessia Cara & Khalid),4:10,Logic,Everybody,Hip-Hop/Rap,1,3,28/04/2017,2017,6,"08/10/2023, 7:04 AM","05/08/2020, 11:12 PM"
2step,2:34,Ed Sheeran,=,Pop,0,3,29/10/2021,2021,6,"16/07/2023, 1:40 PM","16/04/2022, 12:24 PM"
2step (feat. Armaan Malik),2:33,Ed Sheeran,2step (feat. Armaan Malik) - Single,Pop,0,2,03/06/2022,2022,5,"15/09/2023, 3:03 PM","09/06/2022, 5:45 PM"
2U (feat. Justin Bieber),3:15,David Guetta,2U (feat. Justin Bieber) - Single,Dance,1,8,09/06/2017,2017,16,"10/11/2023, 2:52 PM","07/08/2020, 12:50 AM"
5 Taara,2:58,Diljit Dosanjh,5 Taara - Single,Indian Pop,0,,12/01/2015,2015,2,,"29/08/2024, 7:49 AM"
7 Years,3:57,Lukas Graham,Lukas Graham,Pop,1,1,16/06/2015,2015,11,"22/09/2020, 11:17 AM","08/08/2020, 9:39 AM"
8 Mile,5:59,Eminem,8 Mile (Music From And Inspired By The Motion Picture),Hip-Hop/Rap,0,,29/10/2002,2002,1,,"27/05/2024, 2:39 PM"
"10,000 Hours",2:48,Dan + Shay & Justin Bieber,"10,000 Hours - Single",Country,1,7,04/10/2019,2019,10,"15/07/2023, 7:34 AM","20/12/2020, 11:53 AM"
21,2:50,Jimmie Allen,Mercury Lane,Country,1,9,04/05/2018,2018,11,"07/09/2023, 3:54 PM","06/08/2020, 12:00 AM"
21 Guns,5:22,Green Day,21st Century Breakdown (Deluxe Edition),Alternative,1,1,15/05/2009,2009,10,"14/05/2024, 9:01 AM","06/08/2020, 8:57 PM"
24K Magic,3:47,Bruno Mars,24K Magic,Pop,1,4,07/10/2016,2016,8,"02/10/2024, 7:46 AM","06/08/2020, 10:02 PM"
